airline_sentiment,text
negative,@united Premier Gold desk changes flight. Waives fees. Gives me wrong flight. Now Jana Acosta in Salt Lake refuses the same service. Angry.
negative,"@united I will give you one thing, you are consistent but unfortunately you are consistent at not doing your job well #AlwaysDelayedOnUnited"
negative,@united I will but right now I'm to angry
negative,@united first time flying with United. Also last time. #terrible back to @VirginAtlantic for me. #branson #virginatlantic #UnitedAirlines
negative,@united I used to be a committed #ContinentalAirlines flyer until merger. I remember now why I switched to @SouthwestAir #CommunicationFail
negative,@united the least you could do is offer me a ticket in coach instead of just Cancelled Flighting my reservation because of your glitch!!! #notfair
negative,"@united I'm saying I made the flight but with poor/non-communication, unaccounted for lost time &amp; lots of frustrated flyers standing around"
negative,@united I think DM would be better
negative,@United gate announcement states delay due to maintenance yet app says Late Flight arriving aircrafttell the truth! @unfriendly
negative,@united you are easily the worst company I have ever experienced. You have lost someone's personal possessions &amp; you couldn't care less!....
negative,@united how can your app show arriving aircraft is early but departing flight is delayed due to Late Flight arriving aircraft? @unfriendly
negative,@united already did that at the airport and 12 hrs Late Flightr its still not here! you guys are really killing me today. trying to stay positive..
negative,@united once united's service levels reaches those of Etihad or lets be more realistically Lufthansa then ill consider it again
negative,@united really?Someone called in sick and then someone FORGOT to call a replacement?!Now an hour Late Flight to take off. #theworst
negative,@united Asked Flight attendant what typical compensation would be &amp; says we might get free TV. #Unacceptable
neutral,@united done
neutral,"@united Thank you, ^JH, appreciate the prompt responses--me and other passengers will be doing so."
negative,@united has been such a disappointment today. Simply put. Rather unpleased with things currently. Flight delayed; cant wait to just get home
negative,"@united During the same round trip, my NON-English speaking friend was stranded TWICE for 12+ hours each time! Most staff members were rude."
negative,"@unitedfound a group of people who actually hates people more than ISIS, thats right United Airlines."
negative,"@united Nope. Walked up &amp; down the ORF terminal, &amp; not a United agent to be found. Showed up @ last minute to board us. Many panicked people"
positive,@united thank you
negative,@united by the time I finally get to Dallas I could have driven with less frustration and cheaper.
negative,"@united I'm trying to get to my final destination, we need compensation. Just about 2hrs of personal time wasted."
negative,@united that guy really has no customer service clue.Could have spent effort clearing bins for rollerboards instead of art projects in mine!
positive,@united he has no priority and Iove it
positive,@united Pleased to be a Premier Platinum
negative,@united how can you not put my bag on plane to Seattle. Flight 1212. Waitingin line to talk to someone about my bag. Status should matter.
negative,"@united @campilley hahaha. If they weren't an American company, i would say this was great sarcasm!!"
negative,@united i think he actually did not like your screen@campilley 😃😃😃
negative,@united Apparently they are asking 20 people to off board the plane--how can such a big miscalculation be made?!
negative,@united It's a shame choosing #United may be the difference between reuniting with aging friends and never seeing them again #PoorService
neutral,"@united hi guys, do you have a general enquires email address please? Thanks David."
negative,@united Just checking in again - what is the status of our claim.It is going on 2 months with no attention to this?We are very upset.
negative,@united my flight was delayed due to maintenance in LIT and caused me to miss my connection at IAH to MSY. Can you help?
negative,@united #UnitedAirlines Pls Fix #AspenBaggageFail issues. Had to pay my own way to #Aspen after flight Cancelled Flight. Left us in the cold in DEN.
negative,@united Read my bio. See who I work with. I have NEVER encountered this with your airline before. Disappointed is an understatement.
negative,@united Does customer care have email or a phone rep that I can speak with? We had so many issues they can't be placed in 2000 characters?
